5,6,8,5,5,7,8,8,8,6,6,6,6,7,2,2,2,2,1,1,2,5,5,2,2,9,10,7,17,15,15,21,21,21,21,20,25,20,26,26,20,26,25,17,18,9,10,13,13,10,13,10,10,13,12,13,12,11,13,13,
8,5,7,6,6,2,7,7,5,6,7,6,6,7,1,1,7,5,5,6,5,2,26,26,26,17,5,25,25,25,25,25,25,26,26,26,26,31,26,26,25,26,17,17,17,9,10,10,13,13,13,10,10,11,10,12,12,12,13,13,
1,1,2,2,6,5,5,6,6,7,7,6,6,6,7,1,1,2,2,7,7,5,1,1,17,17,17,17,17,21,27,27,27,29,27,31,27,27,20,20,20,18,21,9,10,10,11,13,13,12,13,13,13,13,12,12,13,13,12,13,
1,1,1,6,6,1,1,1,1,7,6,6,7,7,5,5,5,5,1,1,1,1,17,17,17,17,17,17,25,25,27,27,29,29,29,29,30,29,31,26,26,25,26,25,17,17,18,9,9,9,11,11,11,11,10,10,10,10,12,12,
1,2,7,7,6,5,5,7,6,2,7,6,6,6,6,7,2,2,7,7,6,1,6,5,21,17,17,8,17,25,25,25,25,27,29,27,29,29,26,26,31,26,26,26,25,25,17,17,9,15,10,11,10,10,10,10,10,13,12,13,
5,7,8,5,5,2,2,2,2,1,6,7,2,2,5,5,7,6,1,1,5,5,5,22,9,8,9,17,25,25,25,25,29,29,29,29,29,29,31,26,26,26,26,25,17,17,9,9,9,10,9,9,11,9,11,10,13,13,13,13,
1,1,6,1,1,1,1,1,1,2,2,2,7,5,5,7,7,1,1,1,1,1,1,22,17,17,17,17,17,25,25,25,25,25,29,27,31,26,26,26,26,26,25,21,9,9,15,9,11,11,11,11,11,10,12,10,13,13,13,16,
5,8,5,2,7,7,7,5,5,1,1,6,5,1,1,5,6,6,7,2,1,1,1,17,17,1,17,17,25,25,25,25,27,25,27,25,25,29,29,26,26,26,26,26,25,25,21,15,9,9,9,11,9,9,11,10,11,10,10,12,
5,5,7,5,1,1,1,7,5,5,5,6,5,5,7,6,5,7,6,1,1,1,19,19,17,17,9,9,25,25,25,25,25,25,26,26,29,29,26,26,26,25,25,17,17,9,9,22,9,9,9,10,10,9,11,10,10,10,13,10,
7,1,1,1,7,5,7,1,1,1,1,1,1,1,1,1,6,1,5,1,7,2,2,21,25,25,25,17,17,25,25,25,25,29,29,29,29,26,29,25,26,17,21,9,9,9,9,9,11,9,10,11,10,10,12,13,13,16,16,16,
6,7,7,7,7,7,5,5,2,2,6,6,7,7,7,7,1,5,5,2,1,7,5,20,25,25,17,5,17,25,25,27,25,29,29,29,29,29,29,26,25,25,25,17,21,9,9,9,11,9,11,10,12,10,10,13,13,13,13,10,
6,6,6,6,7,5,6,6,5,5,6,6,5,7,7,2,2,6,2,5,5,1,5,5,5,18,17,17,8,17,17,25,25,25,25,25,26,26,26,26,25,25,25,25,17,21,9,11,9,10,9,11,11,13,13,12,13,13,13,13,
2,5,5,2,1,1,1,1,1,2,2,6,7,7,2,1,1,7,1,1,1,1,1,1,1,1,6,7,10,21,25,25,17,17,25,25,25,25,25,27,29,29,29,29,26,26,25,20,17,21,9,9,11,11,11,11,10,11,10,10,
1,1,1,1,1,5,5,1,2,6,1,1,1,1,1,1,6,2,5,5,5,5,7,22,20,17,17,17,9,25,25,25,25,26,26,26,31,26,27,27,20,25,25,21,21,9,10,11,9,10,10,10,12,12,12,12,12,13,13,12,
6,1,1,7,6,6,6,6,6,6,2,2,6,8,7,7,7,5,1,1,1,1,1,1,22,9,9,17,25,25,27,27,27,29,27,29,31,29,30,29,29,26,25,25,25,20,17,9,9,9,9,9,10,9,10,10,10,11,10,10,
5,5,7,7,6,6,7,5,5,5,5,6,7,5,5,6,6,6,5,5,7,9,20,17,17,9,17,25,25,26,26,29,29,29,26,26,26,25,25,17,17,9,10,11,11,10,12,10,10,10,13,13,13,13,13,12,13,13,13,12,
7,7,6,5,5,5,8,8,6,6,5,5,6,6,6,6,8,2,1,1,1,1,2,7,5,2,9,2,8,17,25,25,25,25,25,25,26,26,26,26,25,26,26,25,25,21,17,9,10,10,10,11,11,10,13,12,13,13,13,13,
5,7,7,5,6,6,6,7,6,6,5,5,1,2,2,1,5,5,6,8,7,6,25,21,17,17,17,9,21,25,25,25,27,27,25,26,29,27,26,26,26,25,25,21,17,9,10,10,10,10,13,13,13,13,13,10,13,12,13,12,
8,8,7,6,6,8,6,2,7,5,6,6,1,5,19,21,17,17,17,9,17,17,17,17,25,25,25,29,29,31,31,27,26,25,25,17,18,9,9,9,10,10,10,10,10,10,13,13,12,12,13,13,13,13,13,16,10,9,9,17,
7,7,5,5,7,7,7,7,7,5,5,5,7,7,6,5,5,7,7,5,5,5,5,18,17,17,17,17,26,25,25,25,26,29,29,27,26,27,26,26,26,25,17,21,9,11,9,11,10,13,10,13,10,11,11,12,13,12,13,13,
5,5,5,2,5,5,6,6,5,1,6,1,1,7,7,5,5,6,6,22,22,5,20,25,25,25,25,25,25,27,29,29,29,29,29,26,26,26,26,25,17,17,9,9,9,9,9,9,9,10,10,13,13,10,13,13,13,10,10,8,
6,1,1,1,1,1,1,5,1,1,1,1,7,6,1,1,5,6,17,17,17,17,17,8,17,25,25,25,26,29,26,26,26,25,25,26,25,17,17,18,9,9,9,11,9,11,11,10,11,10,13,13,13,13,13,13,13,13,10,10,
6,6,5,6,6,6,6,6,5,2,5,7,7,7,6,2,6,7,5,5,6,8,6,19,21,17,17,17,17,25,25,25,25,25,25,25,26,25,21,21,9,9,15,9,11,9,11,11,10,12,12,12,10,12,10,10,15,9,17,17,
7,6,6,6,6,5,5,6,7,6,6,6,7,7,6,6,6,6,6,8,2,9,17,17,7,25,25,25,25,29,29,26,29,25,26,25,25,21,9,9,9,9,10,10,10,10,10,10,13,13,13,10,13,16,15,9,17,17,17,17,
5,1,1,7,6,5,6,6,6,6,5,6,7,7,1,1,1,2,2,1,1,6,6,1,2,10,7,7,7,25,25,27,25,29,29,29,26,26,25,25,17,21,10,9,9,11,9,11,10,12,11,13,12,13,13,13,10,9,9,17,
6,7,7,2,7,7,7,8,8,8,8,8,8,8,8,8,8,6,6,6,8,8,5,6,8,8,8,11,28,30,30,30,30,29,30,29,28,27,31,31,27,31,27,27,27,27,27,27,26,20,18,17,17,19,19,17,17,18,9,21,
6,6,2,7,1,5,5,6,6,6,6,8,8,8,8,5,5,8,6,8,8,8,6,6,8,5,5,9,27,28,27,30,29,30,29,30,30,27,28,27,29,30,27,29,27,29,27,27,27,27,27,27,25,20,25,21,17,17,21,17,
2,7,5,2,1,6,7,7,5,7,7,5,5,6,7,6,6,7,5,5,2,2,5,19,2,2,22,9,20,28,28,28,27,28,27,27,31,27,28,28,26,28,27,27,28,20,27,31,27,31,20,27,28,27,27,20,20,20,20,20,
7,7,2,7,1,2,5,5,7,2,6,6,6,5,7,8,8,6,8,8,7,5,2,6,5,5,27,30,30,30,30,30,29,30,29,30,30,29,30,29,30,29,29,30,29,30,27,28,30,29,28,27,27,27,27,20,27,27,20,20,
6,6,7,7,6,6,5,5,7,7,2,5,5,7,8,5,5,5,7,7,7,6,8,1,7,1,22,2,23,28,30,30,30,29,30,29,30,30,28,29,31,27,31,27,27,27,20,20,20,20,20,18,18,21,18,21,18,18,9,9,
2,7,5,6,6,8,8,8,5,8,7,6,2,2,2,5,6,5,5,2,5,5,7,7,7,7,7,7,29,30,29,30,29,30,29,30,29,30,29,30,29,29,27,26,27,25,25,20,18,18,18,18,21,21,21,21,21,21,9,10,
1,1,1,2,6,7,1,1,6,6,5,6,2,2,6,6,5,7,5,5,7,7,7,7,7,7,12,20,29,30,29,30,29,30,29,29,29,29,25,25,25,21,18,17,17,17,20,25,21,21,17,9,15,9,10,10,10,10,11,13,
6,5,7,2,5,7,1,1,1,1,6,5,1,6,1,1,6,6,6,6,1,1,1,1,1,5,8,5,28,29,30,29,30,29,30,29,30,30,29,30,27,31,30,31,29,27,27,27,27,20,20,18,19,17,21,18,21,18,21,18,
5,6,6,6,6,5,5,7,6,7,7,7,6,6,6,1,1,7,7,7,7,5,6,6,2,19,2,11,25,30,29,30,29,30,29,30,30,29,30,29,30,30,29,30,29,29,29,29,29,27,27,27,27,20,20,20,20,21,17,21,
2,1,1,1,7,7,7,1,1,5,2,2,2,7,7,1,1,1,2,19,2,1,2,22,2,2,17,28,29,28,27,30,29,30,27,28,28,27,28,27,28,29,27,31,27,27,31,27,31,27,27,27,27,20,21,21,21,21,9,9,
7,7,1,1,5,5,1,1,5,1,1,6,6,6,6,8,7,8,6,5,8,7,8,7,7,5,21,20,29,29,30,29,30,29,30,29,29,29,27,29,26,27,20,20,21,21,21,17,18,21,18,21,21,9,9,9,10,10,10,10,
5,2,2,2,2,2,6,2,1,1,7,5,2,2,2,6,1,5,5,2,5,7,7,5,6,6,2,20,28,27,30,29,30,27,28,29,29,30,29,29,30,29,29,30,29,29,27,27,28,27,28,27,28,31,27,27,27,27,26,20,
6,6,6,7,7,6,5,1,5,5,1,1,1,7,5,5,7,5,5,7,5,5,5,6,9,27,30,29,30,29,30,29,30,30,29,31,29,29,29,29,29,27,27,26,27,26,20,26,20,21,18,21,18,17,17,9,18,9,9,9,
6,7,1,7,5,5,7,6,5,2,1,1,6,5,7,7,7,7,6,1,2,2,7,5,6,2,9,31,28,30,30,30,29,32,29,28,29,27,29,29,29,29,27,20,20,21,21,21,21,9,18,21,18,21,18,18,21,9,9,9,
1,5,1,1,1,1,5,7,7,6,6,6,6,6,8,7,7,5,5,6,7,6,6,6,6,2,28,28,30,29,30,29,30,29,30,27,29,31,29,31,27,29,31,27,31,27,26,20,27,20,20,20,20,20,21,23,23,18,18,17,
5,6,6,1,1,1,5,6,6,5,7,8,5,5,5,7,5,6,7,7,5,6,2,1,6,6,5,2,20,28,28,30,29,30,29,30,29,30,32,29,32,29,29,29,27,27,27,27,20,20,20,21,21,21,9,9,9,22,9,9,
7,1,6,7,5,2,6,6,6,6,6,5,7,7,6,7,7,1,1,1,5,5,5,5,6,6,6,16,29,30,29,30,27,30,30,30,30,28,29,30,29,29,27,29,29,28,27,27,27,31,20,27,26,27,20,20,27,26,20,20,
7,7,7,5,8,2,1,6,6,1,1,1,1,1,1,2,2,2,5,5,7,1,2,2,2,1,2,25,30,29,30,29,30,29,29,31,27,28,27,27,31,27,28,20,27,28,27,28,27,20,20,20,20,20,20,21,21,21,21,9,
2,7,6,1,6,1,6,6,5,5,5,5,6,7,7,6,6,8,5,6,6,7,1,6,5,22,28,30,29,30,29,30,29,30,32,29,30,29,29,31,27,27,26,18,18,19,25,21,18,21,18,18,18,18,9,9,9,9,10,9,
1,5,5,1,1,6,1,1,1,5,5,5,1,5,7,6,6,6,6,2,7,8,5,5,7,7,8,28,29,30,29,30,29,30,30,30,32,29,32,29,32,32,29,32,29,30,32,29,32,30,30,32,29,32,29,29,32,29,31,27,
1,1,1,1,1,2,5,7,7,8,8,7,7,2,2,7,2,7,7,5,5,5,5,5,8,10,25,30,29,30,29,30,29,30,29,30,30,29,30,29,30,27,27,29,27,27,20,20,21,23,21,18,22,18,21,9,9,18,9,23,
5,5,5,6,2,5,6,2,5,5,1,1,6,6,1,5,6,8,7,7,6,5,1,6,6,2,9,28,27,30,29,30,30,29,29,30,29,30,29,30,32,28,29,32,29,30,29,31,31,27,31,29,29,28,27,27,28,27,28,27,
5,7,7,8,7,5,5,7,7,7,7,7,8,5,2,1,6,1,1,1,1,7,7,6,5,5,7,10,27,28,30,29,30,29,30,30,27,30,27,31,29,27,31,29,27,31,27,31,29,27,31,27,28,20,20,26,20,18,20,18,
8,2,6,7,5,8,7,6,2,6,6,1,5,6,7,2,2,7,5,6,5,5,7,7,7,1,5,2,25,30,29,30,29,30,29,30,32,31,31,31,29,31,27,28,20,20,21,21,21,21,9,17,17,9,9,9,9,18,23,23,
6,5,5,2,1,1,2,5,7,8,5,5,6,6,5,5,6,6,6,6,6,6,6,1,1,6,6,2,30,29,30,29,30,29,29,31,29,31,27,27,26,27,26,20,20,20,21,18,21,17,18,18,18,18,9,23,23,23,23,9,
3,3,4,4,3,14,12,16,16,16,10,16,10,10,10,12,13,8,8,8,8,6,6,2,7,7,5,22,21,20,27,28,28,27,28,27,28,28,20,20,20,20,20,19,19,19,19,22,22,22,22,22,19,19,19,2,2,2,2,2,
10,12,10,12,9,13,8,8,8,8,8,5,8,8,8,6,6,6,5,8,7,22,27,28,29,30,29,30,29,30,30,30,30,29,30,27,27,30,29,27,20,27,29,27,28,28,27,19,22,22,22,22,19,19,2,22,21,2,2,2,
14,14,16,16,16,13,13,8,8,8,8,8,8,5,6,7,8,8,6,5,5,22,22,27,27,29,30,30,30,30,30,30,29,30,29,29,30,30,29,26,19,19,21,19,19,27,27,19,19,19,19,19,19,19,1,2,19,1,2,2,
8,10,14,14,14,14,13,14,14,16,13,16,13,13,8,8,8,8,8,2,6,8,8,8,7,7,9,20,27,29,29,30,27,29,29,29,29,30,27,31,28,20,20,23,18,19,19,19,19,27,19,19,19,21,19,19,19,21,1,2,
12,13,13,10,12,12,12,12,12,13,13,8,8,2,2,8,8,8,5,6,7,8,8,2,7,5,2,19,20,20,27,29,29,30,29,30,29,30,30,27,30,29,28,28,24,20,20,21,23,23,19,19,19,19,22,22,22,22,22,2,
14,14,14,14,14,14,16,16,12,13,8,8,8,5,5,7,7,8,6,7,8,8,6,21,20,27,27,30,30,30,30,29,30,29,30,30,29,30,29,32,29,32,29,28,29,29,19,25,27,27,19,19,19,19,19,19,19,19,19,1,
14,14,14,14,14,10,16,10,12,13,8,8,8,8,8,8,8,8,8,7,6,8,7,8,8,7,5,22,18,27,29,29,30,30,29,30,29,30,30,29,29,30,29,30,30,29,29,28,29,27,27,27,27,19,19,19,21,19,21,21,
12,12,16,12,16,12,13,13,8,8,8,8,6,5,5,2,5,5,7,5,5,1,2,1,1,6,22,20,20,27,29,27,29,30,30,29,32,27,27,28,28,20,18,18,20,18,20,19,20,19,19,22,21,21,21,19,2,6,2,2,
14,14,14,14,14,14,14,16,16,13,13,8,8,8,8,8,8,8,7,8,7,7,8,2,7,21,21,27,27,29,30,29,30,29,30,27,29,30,29,30,29,29,28,29,27,31,27,20,21,23,18,23,20,27,27,20,19,19,19,19,
14,14,14,10,12,10,12,16,10,13,13,8,8,2,7,7,8,5,6,6,6,7,5,6,5,21,27,27,29,29,30,29,29,30,29,29,30,29,30,29,29,30,29,29,30,30,29,30,31,20,23,23,23,21,19,27,27,27,27,20,
8,2,2,7,7,2,1,7,6,5,5,6,1,7,7,5,7,6,1,2,6,6,2,1,1,22,23,20,28,29,30,29,30,30,30,30,30,29,30,29,30,30,27,30,29,28,28,32,28,28,28,20,18,21,22,21,23,21,19,27,
14,12,12,10,10,10,13,13,6,6,5,2,2,7,6,6,6,2,2,1,6,7,2,2,7,19,19,27,28,27,29,30,29,30,27,30,30,29,30,29,29,30,29,30,30,30,29,30,29,27,28,27,20,20,24,20,18,22,23,22,
14,12,14,14,14,14,14,14,14,14,10,14,10,16,16,13,8,8,8,8,8,8,8,8,8,7,18,20,27,27,29,29,30,29,29,30,27,28,30,27,28,27,27,28,27,20,28,20,20,23,23,23,23,23,21,23,20,19,19,19,
4,3,3,3,3,3,4,4,3,10,14,14,14,14,14,14,14,10,14,12,13,8,8,8,8,8,22,21,20,27,29,29,29,29,29,30,29,27,27,27,19,19,19,19,19,19,19,19,19,19,19,1,2,7,7,2,2,2,2,2,
3,3,3,4,4,4,4,3,8,14,14,14,14,14,14,14,14,10,13,13,8,8,7,8,8,2,19,20,27,27,29,29,30,29,30,30,30,30,32,29,29,29,31,31,29,27,27,19,19,27,27,19,19,19,19,19,19,19,21,1,
14,14,14,14,14,14,14,14,14,14,14,14,13,14,10,16,16,13,10,13,8,8,2,2,8,8,22,22,27,28,27,29,30,29,32,30,30,30,30,29,29,27,27,27,27,27,27,19,27,19,22,2,22,22,2,22,22,2,2,2,
13,13,13,13,14,13,13,14,14,13,14,13,13,14,13,13,13,13,13,8,8,8,8,2,7,7,18,25,27,29,29,29,29,29,27,29,29,29,29,29,29,19,18,18,19,19,22,22,22,19,19,19,21,2,2,2,2,2,2,1,
4,3,4,4,3,4,4,3,3,4,4,13,16,14,14,14,14,16,13,13,8,8,8,8,8,8,8,1,25,27,27,29,29,30,27,29,30,29,30,29,29,32,29,30,30,29,30,32,30,27,19,19,22,19,19,22,22,22,22,22,
13,13,12,13,12,13,13,12,13,12,10,12,12,12,12,13,8,8,7,7,8,8,2,6,7,22,22,26,26,29,30,30,30,29,29,31,29,29,29,26,26,18,21,19,20,19,19,21,21,19,19,19,19,19,22,2,2,22,22,1,
4,4,4,4,4,4,3,3,4,4,4,14,14,14,14,10,14,10,13,13,13,8,8,8,5,8,8,8,22,20,27,29,29,30,30,30,30,30,29,29,29,29,29,29,27,19,18,21,21,19,22,22,2,22,19,19,22,2,2,2,
3,4,4,3,3,4,4,4,4,14,14,14,14,14,14,14,13,13,8,8,8,8,8,8,8,7,19,25,27,27,31,29,30,27,30,29,30,30,28,30,30,28,30,30,30,28,32,27,20,27,19,19,18,19,19,19,19,19,25,19,
4,4,4,3,3,4,4,4,14,14,14,14,14,14,14,12,14,12,13,13,8,8,8,8,8,5,8,22,19,20,27,29,29,30,29,30,30,29,26,19,20,19,27,27,25,25,19,22,19,21,21,22,19,19,19,19,2,2,5,7,
3,3,3,3,3,3,3,3,3,4,14,12,14,14,14,14,14,16,13,13,8,8,8,7,7,8,8,9,26,27,27,29,29,29,30,29,30,30,29,31,31,29,29,27,27,19,19,19,19,19,19,19,19,19,19,2,2,19,19,1,
4,4,4,14,14,14,14,14,14,14,13,10,14,10,14,15,12,13,13,8,5,8,8,8,7,6,8,21,20,27,26,28,29,28,28,30,30,30,30,30,29,28,19,19,19,22,18,22,22,22,21,22,22,21,22,19,19,2,2,6,
14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,12,13,13,13,8,8,8,8,8,8,2,19,27,27,27,30,29,29,30,29,29,30,29,29,28,28,28,27,27,27,19,21,19,27,27,19,19,19,19,22,2,2,2,1,
2,2,1,1,2,6,8,7,7,6,8,6,7,7,8,8,8,6,6,7,7,8,8,5,7,7,6,6,19,21,13,8,21,2,14,14,14,14,14,13,13,13,8,8,7,8,8,8,8,14,4,15,15,10,14,8,8,8,8,14,
7,8,6,2,7,5,2,7,7,5,6,2,2,8,13,13,11,11,11,11,11,11,11,11,11,11,11,23,24,20,24,20,24,20,23,21,9,22,22,22,22,22,22,22,22,22,22,10,10,2,2,19,29,28,29,2,23,21,24,20,
1,5,6,2,2,7,1,1,5,2,6,6,8,8,2,2,8,8,13,12,10,10,10,10,11,10,11,21,23,20,24,23,23,23,9,11,23,22,22,22,22,22,22,22,22,22,22,25,28,29,19,19,21,23,20,24,20,20,24,28,
